architecture,horizon,run,success,errors_introduced,errors_detected,errors_recovered,escaped_errors,agent_calls
static_team,25,35,1,0,0,0,0,50
corpus_mesh,25,35,1,0,0,0,0,51
single,25,36,0,1,0,0,1,25
reflection,25,36,0,1,6,5,1,31
static_team,25,36,1,1,1,1,0,51
corpus_mesh,25,36,1,0,0,0,0,52
single,25,37,1,0,0,0,0,25
reflection,25,37,1,0,8,8,0,33
static_team,25,37,1,0,0,0,0,50
corpus_mesh,25,37,1,0,0,0,0,54
single,25,38,0,1,0,0,1,25
reflection,25,38,1,0,7,7,0,32
static_team,25,38,1,0,0,0,0,50
corpus_mesh,25,38,1,0,0,0,0,55
single,25,39,1,0,0,0,0,25
reflection,25,39,1,0,8,8,0,33
static_team,25,39,1,0,0,0,0,50
corpus_mesh,25,39,1,0,0,0,0,54
single,25,40,0,2,0,0,1,25
reflection,25,40,0,0,12,11,1,37
static_team,25,40,1,0,0,0,0,50
corpus_mesh,25,40,1,0,0,0,0,52
single,25,41,1,0,0,0,0,25
reflection,25,41,1,0,10,10,0,35
static_team,25,41,1,0,0,0,0,50
corpus_mesh,25,41,1,0,0,0,0,54
single,25,42,1,0,0,0,0,25
reflection,25,42,1,0,4,4,0,29
static_team,25,42,1,0,0,0,0,50
corpus_mesh,25,42,1,0,0,0,0,53
single,25,43,1,0,0,0,0,25
reflection,25,43,0,3,6,5,1,31
static_team,25,43,1,0,0,0,0,50
corpus_mesh,25,43,1,0,0,0,0,50
single,25,44,1,0,0,0,0,25
reflection,25,44,1,0,8,8,0,33
static_team,25,44,1,0,0,0,0,50
corpus_mesh,25,44,1,0,0,0,0,52
single,25,45,1,0,0,0,0,25
reflection,25,45,1,0,7,7,0,32
static_team,25,45,1,0,0,0,0,50
corpus_mesh,25,45,1,0,0,0,0,55
single,25,46,1,0,0,0,0,25
reflection,25,46,1,0,7,7,0,32
static_team,25,46,1,0,0,0,0,50
corpus_mesh,25,46,1,0,0,0,0,53
single,25,47,0,1,0,0,1,25
reflection,25,47,1,0,5,5,0,30
static_team,25,47,1,1,1,1,0,51
corpus_mesh,25,47,1,1,1,1,0,54
single,25,48,1,0,0,0,0,25
reflection,25,48,0,1,7,7,1,32
static_team,25,48,1,0,0,0,0,50
corpus_mesh,25,48,1,0,0,0,0,53
single,25,49,0,1,0,0,1,25
reflection,25,49,1,0,4,4,0,29
static_team,25,49,1,1,1,1,0,51
corpus_mesh,25,49,1,1,1,1,0,55
